测试1,#genre#
RTHK31,http://120.132.122.244:59845/hls/89/index.m3u8
RTHK32,http://120.132.122.244:59845/hls/90/index.m3u8
RTHK33,http://120.132.122.244:59845/hls/91/index.m3u8

测试3,#genre#
Q music,https://dpp-qmusicnl-live.akamaized.net/streamx/QmusicNL.m3u8
Q music HD,https://dpp-streamlive-plain.medialaancdn.be/qmusic/plain/hls.m3u8
101 TV[854*480][854*480],https://limited38.todostreaming.es/live/101tv-AntequeraHD.m3u8
arabica,http://istream.binarywaves.com:8081/hls/arabica/playlist.m3u8
conecta,http://204.12.211.210:1935/conectatv/conectatv/playlist.m3u8
hits 360,http://cm.hostlagarto.com:8081/hits360tv/hits360HD.myStream/playlist.m3u8
M2[640*360][640*360],http://live.m2.tv/hls3/stream.m3u8
MCN6,https://d18fcxaqfnwjhj.cloudfront.net/CDN_Ingest/MCN6_MUSIC.smil/Playlist.m3u8
persiana,http://51.210.199.24/hls/stream.m3u8
rock,https://sluhay.by/live/Ch114pub/index.m3u8
steelbird,http://cdn25.live247stream.com/steelbirdmusic/tv/playlist.m3u8
the edge,https://livestreamdirect-edgetv.mediaworks.nz/edgetv.m3u8
wanasah,https://shls-wanasah-prod-dub.shahid.net/out/v1/c84ef3128e564b74a6a796e8b6287de6/index.m3u8
Kpop,https://srv1.zcast.com.br/kpoptv/kpoptv/playlist.m3u8?PlaylistM3UCL
retro music[640*360][640*360],http://89.185.253.55/retrotv/retrotvHQ1/playlist.m3u8
city music,http://5592f056abba8.streamlock.net/citytv/citytv/playlist.m3u8
music box,http://51.210.199.30/hls/stream.m3u8
music india[640*360][640*360],http://103.199.161.254/Content/flowers/Live/Channel(Flowers)/index.m3u8
MTV hits,https://rrsatrtmp.tulix.tv/addis1/addis1multi.smil/chunklist_w418104290_b2130000.m3u8
MTV Yo!,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS01/master.m3u8
MTV Biggest Pop,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master.m3u8
MTV Block Party,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS03/master.m3u8
MTV Spankin' New,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS07/master.m3u8
MTV WMA,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS08/master.m3u8
retro music[256*144][256*144],http://stream.mediawork.cz/retrotv/smil:retrotv2.smil/playlist.m3u8
ctpaha,http://live.stranafm.cdnvideo.ru/stranafm/stranafm_hd.sdp/chunklist.m3u8
HONOE,https://hls-video01.cdnvideo.ru/video01/smil:video01.smil/playlist.m3u8
V2,http://de1se01.v2beat.live/playlist.m3u8
V2,https://abr.de1se01.v2beat.live/playlist.m3u8
9XM[256*144][256*144],http://d2q8p4pe5spbak.cloudfront.net/bpk-tv/9XM/9XM.isml/index.m3u8
1 mus,http://hz1.teleport.cc/HLS/HD.m3u8
music top[320*180][320*180],http://live-edge01.telecentro.net.ar/live/smil:musictop.smil/playlist.m3u8
